,code,continent,country,date,total_cases_per_million,total_deaths_per_million,population_density,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,hdi
0,AFG,Asia,Afghanistan,09/12/2021,3955.901,183.781,54.422,597.029,9.59,64.83,0.511
1,ALB,Europe,Albania,09/12/2021,70611.786,1088.782,104.871,304.195,10.08,78.57,0.795
2,DZA,Africa,Algeria,09/12/2021,4756.612,137.303,17.348,278.364,6.73,76.88,0.748
4,AGO,Africa,Angola,09/12/2021,1925.701,51.159,23.89,276.045,3.94,61.15,0.581
5,ATG,North America,Antigua and Barbuda,09/12/2021,42044.81,1185.074,231.845,191.511,13.17,77.02,0.778
6,ARG,South America,Argentina,09/12/2021,117328.592,2559.3,16.177,191.032,5.5,76.67,0.845
7,ARM,Asia,Armenia,09/12/2021,115145.978,2610.063,102.931,341.01,7.11,75.09,0.776
8,AUS,Oceania,Australia,09/12/2021,8749.151,80.812,3.202,107.791,5.07,83.44,0.944
9,AUT,Europe,Austria,09/12/2021,134626.375,1438.781,106.749,145.183,6.35,81.54,0.922
10,AZE,Asia,Azerbaijan,09/12/2021,58789.766,786.24,119.309,559.812,7.11,73.0,0.756
11,BHS,North America,Bahamas,09/12/2021,57591.821,1776.203,39.497,235.954,13.17,73.92,0.814
12,BHR,Asia,Bahrain,09/12/2021,158991.475,797.348,1935.907,151.689,16.52,77.29,0.852
13,BGD,Asia,Bangladesh,09/12/2021,9491.983,168.463,1265.036,298.003,8.38,72.59,0.632
14,BRB,North America,Barbados,09/12/2021,92333.199,855.034,664.463,170.05,13.57,79.19,0.814
15,BLR,Europe,Belarus,09/12/2021,70913.95,553.54,46.858,443.129,5.18,74.79,0.823
16,BEL,Europe,Belgium,09/12/2021,164586.66,2360.919,375.564,114.898,4.29,81.63,0.931
17,BLZ,North America,Belize,09/12/2021,76537.051,1447.217,16.426,176.957,17.11,74.62,0.716
18,BEN,Africa,Benin,09/12/2021,1999.593,12.931,99.11,235.848,0.99,61.77,0.545
19,BTN,Asia,Bhutan,09/12/2021,3395.307,3.847,21.188,217.066,9.75,71.78,0.654
20,BOL,South America,Bolivia,09/12/2021,46302.287,1629.012,10.202,204.299,6.89,71.51,0.718
21,BIH,Europe,Bosnia and Herzegovina,09/12/2021,85942.247,3947.345,68.496,329.635,10.08,77.4,0.78
22,BWA,Africa,Botswana,09/12/2021,81798.235,1009.911,4.044,237.372,4.81,69.59,0.735
23,BRA,South America,Brazil,09/12/2021,103634.293,2880.728,25.04,177.961,8.11,75.88,0.765
24,BRN,Asia,Brunei,09/12/2021,34654.34,221.954,81.347,201.285,12.79,75.86,0.838
25,BGR,Europe,Bulgaria,09/12/2021,103146.235,4260.326,65.18,424.688,5.81,75.05,0.816
26,BFA,Africa,Burkina Faso,09/12/2021,759.824,13.49,70.151,269.048,2.42,61.58,0.452
27,BDI,Africa,Burundi,09/12/2021,1681.704,3.101,423.062,293.068,6.05,61.58,0.433
28,KHM,Asia,Cambodia,09/12/2021,7099.542,175.494,90.672,270.892,4.0,69.82,0.594
29,CMR,Africa,Cameroon,09/12/2021,3950.484,66.962,50.885,244.661,7.2,59.29,0.563
30,CAN,North America,Canada,09/12/2021,48107.208,786.226,4.037,105.599,7.37,82.43,0.929
31,CPV,Africa,Cape Verde,09/12/2021,68485.374,624.665,135.58,182.219,2.42,72.98,0.665
32,CAF,Africa,Central African Republic,09/12/2021,2386.592,20.529,7.479,435.727,6.1,53.28,0.397
33,TCD,Africa,Chad,09/12/2021,337.157,10.701,11.833,280.995,6.1,54.24,0.398
34,CHL,South America,Chile,09/12/2021,92563.84,2009.123,24.282,127.993,8.46,80.18,0.851
35,CHN,Asia,China,09/12/2021,68.961,3.21,147.674,261.899,9.74,76.91,0.761
36,COL,South America,Colombia,09/12/2021,99247.528,2515.691,44.223,124.24,7.44,77.29,0.767
37,COM,Africa,Comoros,09/12/2021,5127.997,169.958,437.352,261.516,11.88,64.32,0.554
38,COG,Africa,Congo,09/12/2021,3370.328,63.461,15.405,344.094,7.2,64.57,0.574
39,CRI,North America,Costa Rica,09/12/2021,110507.909,1425.944,96.079,137.973,8.78,80.28,0.81
40,CIV,Africa,Cote d'Ivoire,09/12/2021,2286.68,26.096,76.399,303.74,2.42,57.78,0.538
41,HRV,Europe,Croatia,09/12/2021,157829.529,2804.008,73.726,253.782,5.59,78.49,0.851
42,CUB,North America,Cuba,09/12/2021,85127.296,734.35,110.408,190.968,8.27,78.8,0.783
44,CYP,Europe,Cyprus,09/12/2021,155543.775,677.452,127.657,141.171,9.24,80.98,0.887
45,CZE,Europe,Czechia,09/12/2021,214315.785,3182.324,137.176,227.485,6.82,79.38,0.9
46,COD,Africa,Democratic Republic of Congo,09/12/2021,640.932,12.07,35.879,318.949,6.1,60.68,0.48
47,DNK,Europe,Denmark,09/12/2021,93265.583,515.37,136.52,114.767,6.41,80.9,0.94
48,DJI,Africa,Djibouti,09/12/2021,13484.375,187.588,41.285,258.037,6.05,67.11,0.524
49,DMA,North America,Dominica,09/12/2021,86016.738,581.943,98.567,227.376,11.62,75.0,0.742
50,DOM,North America,Dominican Republic,09/12/2021,37383.667,384.71,222.873,266.653,8.2,74.08,0.756
51,ECU,South America,Ecuador,09/12/2021,29635.06,1872.379,66.939,140.448,5.55,77.01,0.759
52,EGY,Africa,Egypt,09/12/2021,3516.592,200.646,97.999,525.432,17.31,71.99,0.707
53,SLV,North America,El Salvador,09/12/2021,18378.922,581.576,307.811,167.295,8.87,73.32,0.673
54,GNQ,Africa,Equatorial Guinea,09/12/2021,9379.326,120.699,45.194,202.812,7.78,58.74,0.592
55,ERI,Africa,Eritrea,09/12/2021,2105.534,17.215,44.304,311.11,6.05,66.32,0.459
56,EST,Europe,Estonia,09/12/2021,171189.295,1386.973,31.033,255.569,4.02,78.74,0.892
57,SWZ,Africa,Eswatini,09/12/2021,42936.14,1064.511,79.492,333.436,3.94,60.19,0.611
58,ETH,Africa,Ethiopia,09/12/2021,3161.884,57.849,104.957,182.634,7.47,66.6,0.485
59,FJI,Oceania,Fiji,09/12/2021,58220.244,771.958,49.562,412.82,14.49,67.44,0.743
60,FIN,Europe,Finland,09/12/2021,35912.768,253.408,18.136,153.507,5.76,81.91,0.938
61,FRA,Europe,France,09/12/2021,121512.647,1793.152,122.578,86.06,4.77,82.66,0.901
62,GAB,Africa,Gabon,09/12/2021,16478.2,123.309,7.859,259.967,7.2,66.47,0.703
63,GMB,Africa,Gambia,09/12/2021,4020.206,137.519,207.566,331.43,1.91,62.05,0.496
