location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Austria,07/12/2021,0-4,0.19,0.05,0
Austria,07/12/2021,5,36.61,24.16,0.28
Austria,07/12/2021,15-17,71.11,60.69,2.72
Austria,07/12/2021,18-24,74.15,66.7,15.93
Austria,07/12/2021,25-49,76.31,70.14,24.86
Austria,07/12/2021,50-59,82.77,78.4,38.02
Austria,07/12/2021,60-69,90.74,87.33,51.1
Austria,07/12/2021,70-79,86.3,83.75,59.88
Austria,07/12/2021,80+,104.56,100.77,78.73
Belgium,03/12/2021,18-24,82.09,79.88,3.17
Belgium,03/12/2021,25-49,84.45,82.99,5.76
Belgium,03/12/2021,50-59,91.19,90.53,9.85
Belgium,03/12/2021,60-69,94.3,93.75,25.55
Belgium,03/12/2021,70-79,96.77,96.1,60.88
Belgium,03/12/2021,80+,91.62,90.13,73.16
Bulgaria,26/11/2021,18-24,23.85,21.99,0.14
Bulgaria,26/11/2021,25-49,29.34,27.43,0.66
Bulgaria,26/11/2021,50-59,35.94,33.87,1.69
Bulgaria,26/11/2021,60-69,38.03,35.9,2.85
Bulgaria,26/11/2021,70-79,37.73,35.82,3.16
Bulgaria,26/11/2021,80+,23.85,22.66,1.82
Croatia,07/12/2021,0-4,0.06,0.06,0
Croatia,07/12/2021,5,2.99,1.7,0
Croatia,07/12/2021,15-17,18.01,11.79,0.04
Croatia,07/12/2021,18-24,43.65,36.17,0.36
Croatia,07/12/2021,25-49,57.44,49.96,2.02
Croatia,07/12/2021,50-59,69.67,63.37,4.83
Croatia,07/12/2021,60-69,78.9,73.92,11.51
Croatia,07/12/2021,70-79,82.17,78.07,22.43
Croatia,07/12/2021,80+,64.08,60.23,20.26
Cyprus,03/12/2021,18-24,65.25,61.27,0.28
Cyprus,03/12/2021,25-49,81.3,78.15,5.61
Cyprus,03/12/2021,50-59,86.29,84.47,20.28
Cyprus,03/12/2021,60-69,91.14,89.64,30.46
Cyprus,03/12/2021,70-79,97.63,95.94,55.82
Cyprus,03/12/2021,80+,98.17,95.61,67.43
Czechia,03/12/2021,18-24,66.61,61.2,0.98
Czechia,03/12/2021,25-49,64.25,60.89,3.2
Czechia,03/12/2021,50-59,77.26,75.14,6.84
Czechia,03/12/2021,60-69,79,77.42,10.85
Czechia,03/12/2021,70-79,90.21,88.55,35.37
Czechia,03/12/2021,80+,89.18,86.66,48.42
Denmark,01/10/2021,0-4,0,0,0
Denmark,01/10/2021,5,35.71,31.96,0
Denmark,01/10/2021,15-17,83.13,79.7,0
Denmark,01/10/2021,18-24,79.09,76.22,0.06
Denmark,01/10/2021,25-49,81.61,78.98,0.23
Denmark,01/10/2021,50-59,93.18,92.47,0.67
Denmark,01/10/2021,60-69,96.75,96.37,1.45
Denmark,01/10/2021,70-79,99.89,99.69,3.08
Denmark,01/10/2021,80+,103.65,103.33,8.97
Estonia,03/12/2021,18-24,70.94,65.28,3.93
Estonia,03/12/2021,25-49,68.45,63.71,7.64
Estonia,03/12/2021,50-59,75.55,71.14,16.83
Estonia,03/12/2021,60-69,77.44,73.04,25.07
Estonia,03/12/2021,70-79,80.79,77.53,38.95
Estonia,03/12/2021,80+,71.25,68.23,39.47
Finland,07/12/2021,5,49.24,40.32,0.1
Finland,07/12/2021,15-17,87.24,77.55,0.22
Finland,07/12/2021,18-24,80.78,72.2,0.63
Finland,07/12/2021,25-49,84.78,78.75,2.59
Finland,07/12/2021,50-59,89.96,86.32,4.9
Finland,07/12/2021,60-69,92.85,90.11,9.17
Finland,07/12/2021,70-79,100.56,98.46,13.18
Finland,07/12/2021,80+,96.11,94.48,46.23
France,03/12/2021,18-24,92.17,77.47,1.49
France,03/12/2021,25-49,88.61,76.76,3.54
France,03/12/2021,50-59,92.22,81.28,9.4
France,03/12/2021,60-69,91.34,83.7,20.39
France,03/12/2021,70-79,98.4,93.44,49.7
France,03/12/2021,80+,87.47,82.7,49.62
Hungary,03/12/2021,18-24,54.24,49.62,9.86
Hungary,03/12/2021,25-49,65.8,62,19.86
Hungary,03/12/2021,50-59,75.58,72.62,33.35
Hungary,03/12/2021,60-69,80.24,78.1,48.81
Hungary,03/12/2021,70-79,87.93,86.44,63.95
Hungary,03/12/2021,80+,77.26,75.6,53.27
Iceland,03/12/2021,5,44.22,39.45,0
