vaccine,efficacy_disease_alpha,efficacy_infection_alpha,efficacy_disease_bgd,efficacy_infection_bgd,efficacy_disease_omicron,efficacy_infection_omicron
astra_zeneca,0.94,0.63,0.94,0.69,0.71,0.36
cansino,0.66,0.62,0.64,0.61,0.48,0.32
coronavac,0.5,0.47,0.49,0.46,0.37,0.24
covaxin,0.78,0.73,0.76,0.72,0.57,0.38
johnson,0.86,0.72,0.76,0.64,0.57,0.33
moderna,0.97,0.92,0.97,0.91,0.73,0.48
novavax,0.89,0.83,0.86,0.82,0.65,0.43
pfizer,0.95,0.86,0.95,0.84,0.72,0.44
sinopharm,0.73,0.68,0.71,0.67,0.53,0.35
sputnik,0.92,0.86,0.89,0.85,0.67,0.44
other,0.75,0.7,0.73,0.69,0.55,0.36
other_mrna,0.91,0.86,0.88,0.85,0.67,0.45
