Entity,Code,Continent,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino
Austria,AUT,Europe,08/01/2021,31359,0,0,0,0,0,0,0
Austria,AUT,Europe,15/01/2021,116485,92,0,0,0,0,0,0
Austria,AUT,Europe,22/01/2021,213949,320,0,0,0,0,0,0
Austria,AUT,Europe,29/01/2021,258893,4288,0,0,0,0,0,0
Austria,AUT,Europe,05/02/2021,354995,5990,0,0,0,0,0,0
Austria,AUT,Europe,12/02/2021,456915,10088,10778,0,0,0,0,0
Austria,AUT,Europe,19/02/2021,522854,14228,43559,0,0,0,0,0
Austria,AUT,Europe,26/02/2021,584231,22662,101360,0,0,0,0,0
Austria,AUT,Europe,05/03/2021,688973,32001,156334,3,0,0,0,0
Austria,AUT,Europe,12/03/2021,852207,47387,235181,3,0,0,0,0
Austria,AUT,Europe,19/03/2021,985198,79189,308539,26,0,0,0,0
Austria,AUT,Europe,26/03/2021,1132312,104623,384008,44,0,0,0,0
Austria,AUT,Europe,02/04/2021,1281020,141076,422606,73,0,0,0,0
Austria,AUT,Europe,09/04/2021,1503433,180713,513016,135,0,0,0,0
Austria,AUT,Europe,16/04/2021,1738459,223354,609031,149,0,0,0,0
Austria,AUT,Europe,23/04/2021,2003205,260797,658026,158,0,0,0,0
Austria,AUT,Europe,30/04/2021,2277806,299894,700488,437,0,0,0,0
Austria,AUT,Europe,07/05/2021,2609832,349369,763513,6571,0,0,0,0
Austria,AUT,Europe,14/05/2021,2910769,399530,827787,13628,0,0,0,0
Austria,AUT,Europe,21/05/2021,3290456,467715,905438,25944,0,0,0,0
Austria,AUT,Europe,28/05/2021,3627738,521490,988037,38200,0,0,0,0
Austria,AUT,Europe,04/06/2021,4055335,577125,1056343,58794,0,0,0,0
Austria,AUT,Europe,11/06/2021,4496145,640353,1151286,80603,0,0,0,0
Austria,AUT,Europe,18/06/2021,4953576,690268,1202960,95667,0,0,0,0
Austria,AUT,Europe,25/06/2021,5401314,746209,1276231,104316,0,0,0,0
Austria,AUT,Europe,02/07/2021,5795280,806469,1383180,129892,0,0,0,0
Austria,AUT,Europe,09/07/2021,6127324,857227,1447313,154162,0,0,0,0
Austria,AUT,Europe,16/07/2021,6403956,902188,1495597,173557,0,0,0,0
Austria,AUT,Europe,23/07/2021,6656199,948807,1522397,190187,0,0,0,0
