country,continent,code,date,pfizer,moderna,aztra_zeneca,johnson,sputnik,sinovac,sinopharm,cansino
Czechia,Europe,CZE,09/12/2021,11769212,1178342,884369,399057,0,0,0,0
European Union,Europe,EU,09/12/2021,474558136,70560744,67256712,17652060,1845077,9,2201503,0
Hong Kong,Asia,HKG,09/12/2021,6031872,0,0,0,0,3565193,0,0
Italy,Europe,ITA,09/12/2021,72037713,14934532,12158969,1497836,0,0,0,0
Latvia,Europe,LVA,09/12/2021,1361758,464434,262583,276322,0,9,29,0
South Korea,Asia,KOR,09/12/2021,50009722,14532569,22165050,1520033,0,0,0,0
Ukraine,Europe,UKR,09/12/2021,11286532,2532795,3830201,20680,0,8613980,0,0
United States,North America,USA,09/12/2021,277472166,182451675,0,17020935,0,0,0,0
Uruguay,South America,URY,09/12/2021,2083363,0,88398,0,0,3246957,0,0
Chile,South America,CHL,08/12/2021,7564333,0,543447,0,0,23951210,0,573300
France,Europe,FRA,08/12/2021,89421217,12118308,7809885,1058005,0,0,0,0
Germany,Europe,DEU,08/12/2021,101052817,13536374,12723857,3518777,0,0,0,0
Iceland,Europe,ISL,08/12/2021,431910,87217,115706,54410,0,0,0,0
Romania,Europe,ROU,08/12/2021,11601937,921928,849225,1858165,0,0,0,0
Switzerland,Europe,CHE,08/12/2021,4414930,7929201,0,44134,0,0,0,0
Austria,Europe,AUT,07/12/2021,10886088,1316454,1578256,345187,0,0,0,0
Belgium,Europe,BEL,07/12/2021,13129077,1583858,2839396,409553,0,0,0,0
Bulgaria,Europe,BGR,07/12/2021,2083692,375936,478451,434446,0,0,0,0
Croatia,Europe,HRV,07/12/2021,3073029,400383,562775,179176,0,0,0,0
Denmark,Europe,DNK,07/12/2021,8479436,1291017,154119,46651,0,0,0,0
Finland,Europe,FIN,07/12/2021,6668312,935215,553740,0,0,0,0,0
Ireland,Europe,IRL,07/12/2021,5833794,573442,1191411,236490,0,0,0,0
Luxembourg,Europe,LUX,07/12/2021,618468,92770,105295,40205,0,0,0,0
Netherlands,Europe,NLD,07/12/2021,18008027,2091312,2800766,865151,0,0,0,0
Peru,South America,PER,07/12/2021,23565729,0,3440801,0,0,0,16681808,0
Poland,Europe,POL,07/12/2021,26425587,3053476,5286100,2416492,0,0,0,0
Slovakia,Europe,SVK,07/12/2021,3811439,544845,842068,156937,37685,0,0,0
Sweden,Europe,SWE,07/12/2021,12052217,2094178,1332279,0,0,0,0,0
Cyprus,Europe,CYP,03/12/2021,935576,99089,254428,22559,0,0,0,0
Estonia,Europe,EST,03/12/2021,1157562,172684,235081,71738,0,0,0,0
Hungary,Europe,HUN,03/12/2021,7377514,930191,1251437,291933,1807392,0,2201474,0
Liechtenstein,Europe,LIE,03/12/2021,14653,34620,0,184,0,0,0,0
Lithuania,Europe,LTU,03/12/2021,2553166,279821,536044,257546,0,0,0,0
Malta,Europe,MLT,03/12/2021,554545,97010,227355,31595,0,0,0,0
Norway,Europe,NOR,03/12/2021,6655759,1635412,146244,5976,0,0,0,0
Portugal,Europe,PRT,03/12/2021,11551812,2128129,2221923,1126655,0,0,0,0
Slovenia,Europe,SVN,03/12/2021,1823133,214770,326995,136314,0,0,0,0
Ecuador,South America,ECU,01/12/2021,7505512,0,2960383,0,0,14404076,0,439649
Spain,Europe,ESP,26/11/2021,50291008,9132246,9789905,1975270,0,0,0,0
Mexico,North America,MXN,25/11/2021,34400000,39000000,7943000000,22000000,24000000,20000000,12000000,35000000
Japan,Asia,JPN,04/08/2021,86647668,5687427,0,0,0,0,0,0
